id,receipt_no,corp_code,corp_name,stock_code,report_name,event_date,market,t0_close,t+1_close,t+2_close,t+5_close,ret_1d,ret_2d,ret_5d,error
868006,20230630800704,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2023-06-30,KOSPI,6990.0,7150.0,7100.0,6450.0,0.022889842632331847,0.01573676680972813,-0.07725321888412018,
832399,20230905800356,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2023-09-05,KOSPI,6460.0,6360.0,6330.0,6350.0,-0.015479876160990669,-0.020123839009287936,-0.017027863777089758,
791305,20231201800162,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2023-12-01,KOSPI,6070.0,6070.0,6110.0,6170.0,0.0,0.006589785831960571,0.016474464579901094,
782094,20231219800203,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2023-12-19,KOSPI,6200.0,6260.0,6260.0,5950.0,0.00967741935483879,0.00967741935483879,-0.040322580645161255,
776518,20231229800111,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2023-12-29,KOSPI,5740.0,5710.0,5700.0,5660.0,-0.005226480836236891,-0.006968641114982632,-0.013937282229965153,
767520,20240123800109,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-01-23,KOSPI,5310.0,5270.0,5250.0,5360.0,-0.007532956685499026,-0.011299435028248594,0.009416195856873921,
701054,20240401800867,00115612,동부건설,005960,단일판매ㆍ공급계약체결(자율공시),2024-04-01,KOSPI,5020.0,5030.0,5030.0,4930.0,0.0019920318725099584,0.0019920318725099584,-0.017928286852589626,
657861,20240430800073,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-04-30,KOSPI,5170.0,5190.0,5190.0,5100.0,0.003868471953578423,0.003868471953578423,-0.013539651837524147,
653567,20240509800383,00115612,동부건설,005960,단일판매ㆍ공급계약체결(자율공시),2024-05-09,KOSPI,5100.0,5100.0,5130.0,5120.0,0.0,0.00588235294117645,0.0039215686274509665,
635739,20240605800137,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-06-05,KOSPI,4960.0,4915.0,4910.0,4855.0,-0.009072580645161255,-0.01008064516129037,-0.02116935483870963,
630094,20240619800697,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-06-19,KOSPI,4800.0,4830.0,4805.0,4825.0,0.006250000000000089,0.0010416666666666075,0.005208333333333259,
628177,20240624800342,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-06-24,KOSPI,4785.0,4830.0,4825.0,4795.0,0.00940438871473348,0.008359456635318674,0.002089864158829613,
626348,20240626800441,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-06-26,KOSPI,4825.0,4800.0,4795.0,4775.0,-0.005181347150259086,-0.006217616580310836,-0.010362694300518172,
623579,20240628801129,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-06-28,KOSPI,4795.0,4795.0,4780.0,4780.0,0.0,-0.0031282586027111536,-0.0031282586027111536,
615587,20240718800086,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-07-18,KOSPI,4930.0,4945.0,4905.0,4805.0,0.0030425963488844854,-0.005070993914807254,-0.02535496957403649,
587253,20240902800463,00115612,동부건설,005960,단일판매ㆍ공급계약체결,2024-09-02,KOSPI,4615.0,4600.0,4500.0,4330.0,-0.00325027085590468,-0.024918743228602436,-0.061755146262188476,
